Benin,27.17,29.2,33.91,35.52,36.21,34.45,33.21,34.21,34,34.76,35.52,35.79,36.87,37.74,50.97,58.66,62.71,65.01,68.42,74.26,77.48,79.01,81.82,84.32,84.97,88.62,90.48,90.83,96.68,99.12,100,103.73,111.71,113.29,113,113.09,112.77,113.18
Bhutan,14.12,14.74,15.84,16.89,18.58,19.76,21.08,21.16,24.27,25.61,27.07,29.45,32.18,34.82,39.29,42.46,45.88,51.6,57.03,61.27,62.67,65.97,69.19,71.32,74.03,78.36,82.6,85.17,89.99,94.35,100,108.61,118.58,125.53,134.67,139.58,145.5,156.48
Bolivia,0,0,0,0,0.03,4.04,13.34,15.28,17.96,20.33,23.63,27.81,31.49,33.55,36.22,40.36,45.03,47.6,50.96,52.19,54.9,55.92,57.5,61.14,66.01,69.93,79.49,85.35,94.21,91.93,100,114.6,122.74,130.1,132.76,126.63,124.91,132.49
Bosnia and Herz.,66.24,70.8,75.66,80.85,86.41,92.37,98.71,105.43,112.71,120.62,128.73,110.15,91.21,71.5,49.94,54.36,45.09,50.96,50.15,54.34,69.98,72.06,75.27,75.96,77.91,80.12,86.39,91.83,98.45,98.62,100,102.44,103.25,103.02,104.06,105.48,106.97,109.48
Botswana,6.41,6.4,6.64,7.22,8.34,10.24,11.68,13.17,16.16,18.36,19.52,20.53,21.89,24.75,27.09,29.03,33.71,35.49,38.92,44.46,50.76,54.98,55.63,57.45,63.24,73.02,78.48,82.34,86.24,91.81,100,116.41,116.28,116.82,130.72,133.16,149.08,153.78
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.64,15.26,28.92,34.26,36.91,38.73,41.83,44.29,47.94,52.64,60.05,64.71,69.52,74.23,79.02,85.96,92.24,100,108.31,116.9,125.66,135.52,145.78,157.65,163.63
Brunei,67.19,73.26,69.71,61.75,60.96,59.46,40.49,44.83,41.4,45,48.78,47.4,48.22,46.79,42.69,43.92,45.89,49.83,44.02,49.13,63.38,59.84,60.06,63.73,73.85,87.71,96.53,97.61,110,85.7,100,120.18,121.65,118.21,115.84,95.61,86.83,91.13
Bulgaria,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.28,0.44,0.67,1.15,1.87,3.8,40.25,53.21,54.51,58.5,62.07,64.41,65.88,69.6,74.14,79.13,87.91,95.06,98.9,100,105.98,107.63,106.87,107.35,109.72,112.19,113.51
Burkina Faso,38.66,43.92,47.89,50.48,53.76,54.17,50.73,51.36,53.11,55.68,56.68,54.43,54.56,53.77,61.64,65.82,66.05,67.07,72.4,75.61,74.99,77.38,80.35,81.54,81.61,84.66,84.1,84.94,91.43,93.63,100,106.71,112.92,110.52,109.83,106.46,110.74,114.55
Burundi,5.84,5.48,5.79,6.16,7.23,7.59,7.27,7.02,7.27,8.34,8.84,9.2,9.7,10.45,11.14,12.93,14.8,19.6,21.84,25.11,34.89,39.68,40.08,44.87,50.77,60.34,62.06,66.34,82.26,89.04,100,114.29,131.91,149.28,161.67,169.53,175.98,211.57
Cabo Verde,35.54,38.94,45.71,50.54,54.97,56.99,67.07,71.74,75.62,78.33,80.17,84.01,80.55,120.31,85.21,83.89,83.44,82.74,82.46,88.74,81.73,85.94,85.63,89.84,84.15,82.64,86.48,94.05,97.38,99.5,100,102.68,103.24,104.72,104.57,106.38,105.49,106.69
Cambodia,23.1,23.66,24.22,24.8,25.41,26.04,26.62,27.26,27.96,28.73,29.08,29.99,30.95,32.02,51.22,55.32,56.99,60.41,66.67,67.51,64.62,66.33,66.81,68.01,71.29,75.62,79.12,84.28,94.6,96.97,100,103.36,104.85,105.67,108.45,110.32,114.13,118.04
Cameroon,24.98,27.18,30.57,34.47,39.14,43.52,43.6,42.56,42.9,42.12,42.81,44.34,43.78,61.2,67.09,70.44,71.19,75.17,78.41,77.53,81.57,82.76,84.29,84.45,86.13,86.78,89.69,90.55,96.54,98.13,100,102.67,105.41,107.56,109.82,110.02,110.05,113.09
Canada,39.78,44.07,47.96,50.73,52.52,54.26,55.93,58.59,61.25,64.14,66.34,68.39,69.42,70.32,71.35,72.97,74.24,75.09,74.95,76.38,79.7,81.02,82.03,84.7,87.47,90.23,92.58,95.66,99.49,97.21,100,103.24,104.5,106.16,108.25,107.43,108.09,110.55
Central African Rep.,27.34,31.13,37.64,41.82,42.42,56.9,54.95,53.68,55.09,56.44,57.48,57.26,58.85,56.83,70.7,77.7,74.95,75.56,75.25,78.33,84.99,85.35,83.33,84.44,80.69,84.07,86.87,88.47,94.73,98.03,100,101.96,104.71,112.03,124.44,132.1,140.45,146.78
Chad,23.79,25.71,28.08,28.08,34.84,33.06,27.46,26.6,29.09,28.72,31.03,31.98,27.85,27.49,39.45,42.94,47.86,49.67,53.02,49.01,51.6,58.72,59.84,59.89,65.72,84.19,92.6,95.65,103.93,93.99,100,108.58,109.77,105.23,105.91,97.28,89.14,95.61
Chile,3.76,4.19,4.51,5.91,6.84,9.69,11.77,14.82,18.03,20.51,25.12,30.5,34.6,38.81,44.43,49.62,51.29,52.86,53.41,54.63,56.96,59.16,61.17,63.97,68.99,74.26,83.29,87.74,87.69,91.77,100,103.11,104.28,106.34,112.64,118.24,123.82,129.58
China,19.85,20.31,20.29,20.52,21.54,23.74,24.85,26.1,29.26,31.78,33.6,35.85,38.79,44.68,53.89,61.26,65.24,66.3,65.71,64.87,66.21,67.56,67.97,69.74,74.59,77.5,80.55,86.83,93.63,93.51,100,108.15,110.74,113.2,114.14,114.25,115.55,120.23
Colombia,0.8,0.98,1.22,1.47,1.8,2.25,2.9,3.58,4.58,5.71,7.2,9.08,11.1,14.2,20.64,24.54,28.67,33.5,38.45,43.31,57.06,60.78,64.41,68.81,73.82,77.92,82.42,86.57,93.11,96.29,100,106.73,109.92,112.11,114.43,117.23,122.95,128.88
Comoros,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.09,0.18,0.39,1.16,2.54,6.31,8.25,9.30,15.13,26.37,31.64,39.01,46.03,52.79,60.78,68.27,74.12,85.56,89.07,100.00,114.09,127.03,136.35,145.50,149.10,160.57,184.20
Costa Rica,0.66,0.94,1.72,2.81,3.31,3.88,4.63,5.2,6.27,7.24,8.48,10.7,12.81,14.14,16.35,19.82,22.85,26.18,29.36,32.71,35.83,39.32,43.2,47.83,54.26,61.37,69.37,76.68,85.44,93.83,100,104.55,109.1,113.48,120.06,124.59,126.82,129.33
Côte d'Ivoire,26.24,27.02,29.26,31.91,37.63,37.75,36.99,35.48,35.35,34.99,33.41,33.63,33.62,35.69,52.25,58.02,60.91,64.69,67.04,67.57,69.08,74.19,79.14,82.94,80.54,81.59,83.01,85.45,92.71,94.89,100,101.64,105.82,108.73,112.98,116.49,118.32,119.67
Croatia,23.45,24.78,26.18,27.67,29.23,30.89,32.64,34.5,36.44,38.49,40.71,43.05,45.36,47.95,50.92,53.83,55.86,59.74,64.68,67.1,70.08,73.03,75.57,78.63,81.56,84.33,87.7,91.3,96.5,99.19,100,101.66,103.25,104.06,104.13,104.11,104.02,105.24
Cuba,47.82,46.61,45.57,46.3,47.5,46.47,44.65,44.92,45.48,45.76,48.17,44.61,46.28,55.06,69.54,76.84,74.79,73.78,74.74,77.57,78.92,79.28,82.87,85.34,85.86,86.18,95.11,98.53,98.19,98.81,100,104.32,107.36,110.22,114.03,117.96,120.54,123.74
Cyprus,25.68,28.86,31.84,33.45,36.19,38.24,39.82,41.36,42.68,44.71,47.14,48.97,51.93,54.43,57.3,64.33,65.94,68.56,70.86,72.68,75.48,78.24,78.8,81.91,84.82,88.24,91.31,94.22,98.01,98.03,100,101.91,103.84,102.75,101.14,99.94,99.26,100.77
Czechia,22.39,22.61,22.8,22.95,23.14,23.54,23.55,23.55,23.96,24.63,26.32,35.85,40.28,48.74,54.76,59.75,65.7,71.2,78.28,80.63,82.05,86.06,88.4,89.42,92.88,92.95,93.59,96.89,98.88,101.45,100,100.02,101.48,102.93,105.49,106.72,108.04,109.44
