,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4497,UEI-IMD-FL-2015-0003,20151222,20151222,1.0,heavy rains,,Vishakhapatnam,Andhra Pradesh,,,,,4,,,,4 persons died due to landslips,Landslips,IMD,
4498,UEI-IMD-FL-2015-0004,20150610,20150610,1.0,heavy rains,,Parts of Arunachal Pradesh,Arunachal Pradesh,,,,,2,,,,2 persons died,,IMD,
4499,UEI-IMD-FL-2015-0005,20150219,20150219,1.0,heavy rains,,Parts of Assam,Assam,,,,,2,,,,2 persons died due to landslide,,IMD,
4500,UEI-IMD-FL-2015-0006,20150601,20150606,6.0,heavy rains,,"Barpeta, Dhemaji, Golpara",Assam,,,,,,,,,,About 900 people of 135 villages affected,IMD,
4501,UEI-IMD-FL-2015-0007,20150609,20150617,9.0,flood,,"Baksa, Barpeta, Darrang, Dhemaji, Dibrugarh, Goalpara Jorhat, Kamrup, Kamrup (M), Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur and Tinsukia",Assam,,,,,3,,,,3 persons died in Sonitpur and Baksa,"i)About 3,17,182 people of 580 villages badly affected ii)Damage to cropland of area 11,421 hectares reported",IMD,
4502,UEI-IMD-FL-2015-0008,20150620,20150624,5.0,flood,,"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia",Assam,,,,,1,,,,1 person died,"i)About 27,248 people of 72 villages effected ii)The crops about 1,582 hectaes of crop land affected",IMD,
4503,UEI-IMD-FL-2015-0009,20150714,20150717,4.0,flood,,Parts of Assam,Assam,,,,,5,10,,,5 persons died and 10 injured due to severe TS on 14th July,"i)2,89,788 population affected ii)Extensive damage to 174 villages reported iii)Damage to cropland of area 18,060 hectares reported",IMD,
4504,UEI-IMD-FL-2015-0010,20150819,20150823,5.0,flood,,"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara, Jorhat, Kamrup, Kokrajarh, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagr, Sonitpur and Tinsukia",Assam,,,,,8,,,,8 persons died,"i)5,76,537 population affected ii)Extensive damage to 1,200 villages reported iii)Damage to cropland of area 55,553 hectares reported",IMD,
4505,UEI-IMD-FL-2015-0011,20150825,20150831,7.0,flood,,"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara, Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Aonitpur and Tinsukia",Assam,,,,,7,,,,7 persons died,"i)7,35,829 population affected ii)Extensive damage to 1,597 villages reported iii)Damage to cropland of area 1,18,403 hectares reported",IMD,
4506,UEI-IMD-FL-2015-0012,20150901,20150912,12.0,flood,,"Barpeta, Baksa, Bongaigaon, Carchar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara, Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur and Tinsukia",Assam,,,,,28,,,,28 persosnd died,"i)17,67,159 population affected ii)Extensive damage to 280 villages from 21 district reported iii)Damage to cropland of area 1,72,308 hectares reported",IMD,
4507,UEI-IMD-FL-2015-0013,20150923,20150925,3.0,flood,,"Dhemaji, Goalpara Kamrup and Lakhimpur",Assam,,,,,,,,,,"i)23,497 population affected ii)Extensive damage to 48 villages reported iii)Damage to cropland of area 2383 hectares reported",IMD,
4508,UEI-IMD-FL-2015-0014,20150724,20150724,1.0,heavy rains,,Parts of Bihar,Bihar,,,,,2,,,,2 persons died,"Several trees/electric poles uprooted causing disruption in telecommunication services, vehicular traffic and power supply",IMD,
4509,UEI-IMD-FL-2015-0015,20150903,20150903,1.0,heavy rains,,Mungeli,Chhattisgarh,,,,,1,4,,,1 child died and 4 persons injured,"Several trees/electric poles uprooted causing disruption in telecommunication services, vehicular traffic and power supply",IMD,
